iter	RMSE
0	1793654.283
1	1727815.539
2	1668439.547
3	1611024.742
4	1561395.894
5	1511980.708
6	1468418.434
7	1430919.289
8	1393887.883
9	1360588.087
10	1332964.261
11	1303512.35
12	1273574.007
13	1246059.413
14	1227312.858
15	1206898.753
16	1186468.368
17	1168384.221
18	1148726.343
19	1135368.251
20	1117929.169
21	1103835.968
22	1086477.47
23	1072737.774
24	1058816.782
25	1044466.52
26	1032498.618
27	1019272.221
28	1008788.361
29	1000066.287
30	993159.3921
31	986700.1578
32	977080.616
33	970189.9159
34	964418.4745
35	957347.0019
36	951708.0634
37	943216.9302
38	935848.5769
39	927709.8404
40	922872.1317
41	917895.2642
42	911877.3647
43	903953.6788
44	899439.3583
45	895559.5382
46	890410.8042
47	886602.3828
48	880846.5674
49	877179.2131
50	871406.1051
51	866428.1778
52	861694.6122
53	856768.4597
54	853420.7834
55	849652.8072
56	845246.1806
57	842046.3431
58	838766.7963
59	835238.4214
60	831314.4315
61	827217.0401
62	824240.1177
63	821079.1975
64	818640.5015
65	814820.4077
66	812645.8571
67	808939.3814
68	806069.1415
69	803228.828
70	800324.1573
71	798262.6613
72	796092.7576
73	793098.3517
74	790556.9538
75	788117.6733
76	785954.8029
77	783573.4722
78	781710.6514
79	779100.3575
80	777236.838
81	775602.1022
82	772973.1763
83	770952.2765
84	769008.4937
85	767829.1486
86	766096.549
87	764912.0752
88	762650.7039
89	760952.0371
90	760487.7204
91	757775.5339
92	755701.6003
93	753174.7324
94	751531.9845
95	750379.0536
96	749497.3196
97	747975.5582
98	747263.0302
99	745457.9035
100	744347.3918
101	741944.4136
102	740166.1317
103	739041.7421
104	737081.3005
105	736151.8143
106	734197.3637
107	732528.0763
108	729934.5359
109	728340.1795
110	726799.1392
111	725210.2829
112	723771.5622
113	721383.0788
114	720333.1079
115	718664.349
116	716852.733
117	714928.3998
118	713974.5932
119	712864.3008
120	711864.9961
121	710709.6727
122	709675.5111
123	709373.9982
124	707687.1686
125	706725.3147
126	705127.5391
127	704012.2027
128	702812.8246
129	701314.4227
130	699816.2938
131	698980.4425
132	697471.8318
133	696225.5763
134	695552.9701
135	695299.3552
136	693906.2607
137	693788.5666
138	692917.0462
139	692144.0041
140	691024.3346
141	689527.2494
142	688975.2403
143	687720.4839
144	687116.5524
145	686626.3902
146	686506.6159
147	685678.237
148	684328.681
149	683076.3227
150	682352.0289
151	680386.4806
152	680195.4121
153	678616.9388
154	677589.1581
155	676790.2935
156	675719.2683
157	674135.7671
158	673148.4207
159	672282.3566
160	671440.5295
161	670051.9881
162	668825.8107
163	668187.467
164	666883.4794
165	665693.4673
166	664604.0841
167	663452.3026
168	661890.1192
169	661072.8582
170	660725.6297
171	660208.56
172	658878.2514
173	657946.9038
174	657041.9362
175	656253.5965
176	655154.5274
177	654163.8635
178	653220.8901
179	652550.5989
180	651663.9298
181	651065.5897
182	650453.6311
183	649725.6089
184	648599.7973
185	648245.7893
186	647391.1773
187	646590.7908
188	644979.51
189	644379.534
190	642508.9261
191	641424.1181
192	640861.4785
193	639779.3966
194	639207.5933
195	638173.4447
196	637345.4185
197	636263.5226
198	635216.184
199	634509.9351
200	633819.387
201	633026.1073
202	632393.2192
203	631602.9055
204	630496.6815
205	629669.8452
206	629110.7821
207	628058.9571
208	627089.4429
209	625913.3861
210	625225.5809
211	624382.4479
212	623524.3552
213	622956.5385
214	622248.4873
215	621373.0991
216	620499.393
217	619476.6137
218	618526.3798
219	617787.8423
220	617068.9193
221	616338.6579
222	615372.0017
223	614787.407
224	613901.7414
225	613530.1903
226	612874.3572
227	612256.1316
228	611453.3974
229	610894.3668
230	610219.6681
231	609378.5948
232	608848.7758
233	608339.5234
234	607960.3582
235	607228.3548
236	606410.012
237	605672.0971
238	604948.4288
239	604423.5726
240	603563.4009
241	602572.4334
242	602158.6462
243	601598.9843
244	600737.0531
245	600223.5413
246	598940.5164
247	598100.1786
248	597663.9638
249	597025.7373
250	596482.391
251	595808.9197
252	595301.1366
253	593869.3051
254	593265.2124
255	592593.1129
256	592011.5441
257	591656.4199
258	591040.157
259	590206.6663
260	589801.6672
261	589557.3908
262	588885.5373
263	588315.3785
264	587900.1432
265	587337.21
266	587016.5135
267	586084.0607
268	585352.7838
269	584803.5313
270	584214.4189
271	583501.7709
272	583088.2163
273	582532.3631
274	582061.0007
275	581618.1556
276	580589.0218
277	579968.5967
278	579362.3639
279	578925.1048
280	578520.4449
281	577857.0932
282	577368.3796
283	576572.6697
284	576021.116
285	575000.7158
286	574504.7376
287	573928.2525
288	573271.6258
289	572606.0032
290	572191.0722
291	571646.4699
292	571156.4547
293	570677.3861
294	570297.2598
295	569793.7255
296	568930.0529
297	568491.474
298	567772.6409
299	567330.3562
300	566730.5883
301	566033.0248
302	565483.4589
303	564734.3493
304	564229.5722
305	563184.1408
306	562604.8723
307	562137.3722
308	561623.8716
309	560757.034
310	560071.7242
311	559318.6464
312	558986.3719
313	558323.339
314	557774.149
315	557413.8042
316	556997.86
317	556492.36
318	556049.7192
319	555531.7572
320	555188.9506
321	554300.9719
322	553829.711
323	553428.3977
324	552997.0348
325	552603.9438
326	552250.8349
327	551909.9884
328	551510.9982
329	550717.411
330	550172.7576
331	549792.6075
332	549251.7162
333	548912.1311
334	548498.6639
335	548180.9561
336	547876.1869
337	547231.6528
338	546915.9383
339	546527.1321
340	546080.0773
341	545701.6553
342	545427.4514
343	545067.4218
344	544815.5
345	544445.7941
346	544021.6829
347	543587.8437
348	543063.7803
349	542771.4597
350	542322.0713
351	541879.8738
352	541615.3816
353	541256.3397
354	541003.2015
355	540620.58
356	539995.713
357	539455.3786
358	539245.4395
359	538672.9498
360	537867.554
361	537468.9024
362	536785.7438
363	536465.1077
364	536075.976
365	535805.5865
366	535309.0671
367	534939.0751
368	534786.4843
369	534495.9369
370	533890.8455
371	533589.4868
372	533198.7203
373	532666.0877
374	532148.7249
375	531412.416
376	530915.8044
377	530628.5197
378	529961.0878
379	529640.2414
380	529400.7161
381	529172.8947
382	528862.3897
383	528448.6791
384	528219.3483
385	527668.468
386	527352.1001
387	526831.7976
388	526429.5158
389	526083.7738
390	525901.6037
391	525544.7818
392	525042.4898
393	524683.6834
394	524252.2681
395	523963.0767
396	523627.4649
397	523211.1303
398	523111.0249
399	522893.7
400	522658.2103
401	522177.5637
402	521840.9562
403	521416.2133
404	521113.785
405	520688.7046
406	520298.8493
407	519533.9686
408	518899.9321
409	518468.5761
410	517988.9802
411	517539.4907
412	517193.5108
413	516436.2171
414	515953.7468
415	515638.5951
416	515308.5582
417	514797.7387
418	514242.0351
419	513909.9521
420	513603.149
421	513375.8551
422	513154.0528
423	512777.992
424	512446.4629
425	512259.6047
426	511907.551
427	511602.8704
428	511067.114
429	510750.1521
430	510560.5633
431	510350.1294
432	509887.7193
433	509374.0186
434	509044.0545
435	508661.0598
436	508450.5383
437	508223.383
438	507705.1544
439	507443.3283
440	507092.2318
441	506773.9631
442	506420.7392
443	505901.8728
444	505634.163
445	505165.0333
446	504752.893
447	504333.8484
448	503650.2594
449	503188.6976
450	502767.6787
451	502274.1113
452	501833.4031
453	501459.7814
454	501339.7426
455	501009.2827
456	500761.491
457	500737.5049
458	500373.5551
459	500129.8305
460	499834.319
461	499563.2292
462	499313.8019
463	498633.1391
464	498362.3188
465	498159.5852
466	497951.8574
467	497699.6236
468	497541.0736
469	497394.3151
