iter	Passed	Remaining
0	215	214997
1	350	174891
2	472	156868
3	593	147658
4	717	142690
5	872	144531
6	999	141805
7	1183	146712
8	1316	144967
9	1444	143011
10	1558	140151
11	1682	138505
12	1843	139967
13	1952	137512
14	2060	135336
15	2185	134426
16	2320	134168
17	2443	133328
18	2586	133535
19	2731	133831
20	2881	134343
21	2999	133331
22	3119	132490
23	3248	132124
24	3362	131123
25	3486	130603
26	3614	130260
27	3781	131283
28	3896	130473
29	4011	129705
30	4149	129714
31	4294	129895
32	4424	129664
33	4545	129136
34	4664	128597
35	4793	128352
36	4896	127453
37	5011	126859
38	5134	126517
39	5256	126160
40	5388	126038
41	5564	126918
42	5697	126794
43	5826	126597
44	5929	125840
45	6050	125485
46	6172	125149
47	6294	124839
48	6445	125088
49	6591	125233
50	6741	125437
51	6892	125649
52	7033	125677
53	7172	125659
54	7309	125583
55	7435	125334
56	7577	125359
57	7715	125310
58	7828	124850
59	7971	124884
60	8088	124509
61	8237	124624
62	8359	124337
63	8499	124311
64	8616	123943
65	8724	123465
66	8844	123169
67	8964	122861
68	9082	122547
69	9210	122369
70	9313	121864
71	9436	121624
72	9571	121539
73	9682	121158
74	9785	120685
75	9891	120256
76	10021	120130
77	10138	119838
78	10257	119580
79	10358	119121
80	10493	119052
81	10599	118663
82	10715	118389
83	10834	118142
84	10971	118103
85	11087	117836
86	11208	117624
87	11312	117233
88	11412	116821
89	11519	116477
90	11560	115472
91	11688	115355
92	11817	115251
93	11965	115331
94	12098	115254
95	12215	115031
96	12323	114724
97	12427	114383
98	12534	114080
99	12645	113808
100	12748	113477
101	12865	113267
102	12973	112982
103	13074	112643
104	13188	112417
105	13287	112063
106	13389	111748
107	13495	111459
108	13601	111179
109	13701	110854
110	13802	110541
111	13899	110202
112	13997	109872
113	14108	109651
114	14216	109405
115	14327	109183
116	14431	108916
117	14540	108686
118	14645	108429
119	14745	108131
120	14844	107837
121	14942	107539
122	15045	107278
123	15072	106477
124	15179	106254
125	15277	105971
126	15379	105720
127	15474	105422
128	15567	105108
129	15664	104833
130	15759	104542
131	15864	104322
132	15969	104102
133	16092	103999
134	16195	103771
135	16224	103072
136	16330	102872
137	16352	102142
138	16467	102004
139	16577	101830
140	16690	101678
141	16794	101475
142	16823	100825
143	16918	100569
144	17009	100294
145	17041	99682
146	17061	99003
147	17154	98755
148	17254	98549
149	17351	98324
150	17450	98113
151	17559	97965
152	17583	97343
153	17690	97180
154	17799	97035
155	17891	96799
156	17991	96601
157	18091	96410
158	18193	96229
159	18288	96012
160	18383	95798
161	18485	95624
162	18587	95444
163	18691	95279
164	18798	95129
165	18898	94949
166	19017	94861
167	19149	94834
168	19253	94673
169	19349	94471
170	19378	93945
171	19471	93732
172	19572	93562
173	19673	93390
174	19789	93291
175	19915	93242
176	20021	93092
177	20123	92927
178	20222	92750
179	20317	92556
180	20416	92379
181	20551	92370
182	20645	92170
183	20745	92003
184	20840	91810
185	20873	91350
186	20970	91170
187	21068	90996
188	21163	90814
189	21207	90412
190	21310	90263
191	21412	90109
192	21515	89963
193	21621	89827
194	21730	89707
195	21829	89544
196	21922	89359
197	22019	89188
198	22115	89019
199	22215	88862
200	22310	88688
201	22415	88552
202	22515	88398
203	22610	88226
204	22710	88073
205	22815	87940
206	22913	87778
207	23014	87631
208	23116	87488
209	23215	87332
210	23307	87155
211	23401	86981
212	23501	86835
213	23593	86656
214	23686	86484
215	23788	86344
216	23901	86242
217	24032	86206
218	24153	86135
219	24269	86044
220	24382	85944
221	24498	85853
222	24612	85757
223	24718	85632
224	24819	85488
225	24916	85334
226	25029	85231
227	25129	85087
228	25237	84970
229	25346	84854
230	25454	84739
231	25564	84626
232	25667	84492
233	25781	84397
234	25889	84279
235	26004	84185
236	26120	84093
237	26233	83992
238	26342	83875
239	26449	83757
240	26591	83747
241	26720	83694
242	26842	83619
243	26970	83565
244	27121	83578
245	27287	83638
246	27412	83567
247	27522	83455
248	27623	83313
249	27741	83223
250	27895	83241
251	28031	83204
252	28155	83129
253	28276	83048
254	28391	82946
255	28511	82860
256	28625	82758
257	28738	82651
258	28846	82530
259	28958	82420
260	29074	82321
261	29191	82225
262	29314	82146
263	29427	82041
264	29535	81917
265	29650	81817
266	29770	81729
267	29887	81634
268	29994	81509
269	30118	81432
270	30240	81348
271	30341	81208
272	30470	81143
273	30602	81085
274	30706	80952
275	30806	80810
276	30909	80677
277	31019	80560
278	31122	80427
279	31223	80288
280	31323	80148
281	31422	80005
282	31524	79869
283	31625	79731
284	31717	79572
285	31819	79436
286	31921	79303
287	32021	79164
288	32126	79038
289	32221	78887
290	32323	78754
291	32420	78609
292	32516	78460
293	32605	78297
294	32695	78136
295	32785	77976
296	32878	77822
297	32972	77672
298	33065	77520
299	33162	77379
300	33270	77262
301	33377	77143
302	33471	76996
303	33569	76857
304	33664	76710
305	33767	76584
306	33861	76436
307	33952	76282
308	34042	76127
309	34133	75975
310	34225	75823
311	34317	75675
312	34411	75529
313	34508	75391
314	34604	75251
315	34700	75110
316	34794	74966
317	34892	74832
318	34989	74695
319	35082	74551
320	35173	74401
321	35265	74255
322	35355	74103
323	35449	73963
324	35546	73827
325	35648	73703
326	35746	73569
327	35845	73439
328	35942	73305
329	36038	73169
330	36131	73027
331	36226	72889
332	36322	72755
333	36418	72619
334	36512	72479
335	36599	72328
336	36688	72179
337	36781	72039
338	36873	71897
339	36964	71755
340	37057	71615
341	37157	71489
342	37263	71376
343	37365	71254
344	37462	71123
345	37564	71002
346	37655	70862
347	37752	70731
348	37851	70605
349	37945	70469
350	38036	70328
351	38127	70188
352	38220	70053
353	38313	69916
354	38405	69778
355	38499	69644
356	38601	69525
357	38698	69397
358	38794	69267
359	38892	69142
360	38994	69024
361	39087	68889
362	39186	68765
363	39278	68628
364	39367	68489
365	39455	68347
366	39544	68206
367	39633	68067
368	39725	67932
369	39820	67801
370	39915	67673
371	40010	67544
372	40104	67413
